city,property_type,price_tnd,surface_m2,sustainability_score,combined_risk
Ariana,House,500000.0,220.0,78.7,3.67
Ariana,Land,467000.0,1.0,78.7,3.67
Ariana,House,950000.0,520.0,78.7,3.67
Ariana,Apartment,150000.0,48.0,78.7,3.67
Ariana,Apartment,340000.0,156.0,78.7,3.67
Ariana,Apartment,81000.0,72.0,78.7,3.67
Ariana,House,380000.0,420.0,78.7,3.67
Ariana,Unknown,100000.0,44.0,78.7,3.67
Ariana,Apartment,180000.0,143.0,78.7,3.67
Ariana,House,87000.0,175.0,78.7,3.67
Ariana,Apartment,175000.0,109.0,78.7,3.67
Ariana,House,1200000.0,630.0,78.7,3.67
Ariana,Apartment,260000.0,147.0,78.7,3.67
Ariana,Apartment,255000.0,127.0,78.7,3.67
Ariana,House,1300000.0,530.0,78.7,3.67
Ariana,Apartment,284000.0,124.0,78.7,3.67
Ariana,House,360000.0,500.0,78.7,3.67
Ariana,House,240000.0,177.0,78.7,3.67
Ariana,House,135000.0,170.0,78.7,3.67
Ariana,House,880000.0,580.0,78.7,3.67
Ariana,House,1200000.0,600.0,78.7,3.67
Ariana,House,210000.0,187.0,78.7,3.67
Ariana,House,235000.0,120.0,78.7,3.67
Ariana,House,1100000.0,650.0,78.7,3.67
Ariana,House,990000.0,600.0,78.7,3.67
Ariana,Apartment,257750.0,147.0,78.7,3.67
Ariana,Apartment,190000.0,106.0,78.7,3.67
Ariana,Apartment,145000.0,94.0,78.7,3.67
Ariana,House,630000.0,350.0,78.7,3.67
Ariana,Apartment,340000.0,160.0,78.7,3.67
Ariana,House,750000.0,380.0,78.7,3.67
Ariana,House,620000.0,264.0,78.7,3.67
Ariana,House,410000.0,250.0,78.7,3.67
Ariana,Apartment,1900000.0,88.0,78.7,3.67
Ariana,House,400000.0,500.0,78.7,3.67
Ariana,Apartment,345000.0,135.0,78.7,3.67
Ariana,House,65000.0,195.0,78.7,3.67
Ariana,House,800000.0,1000.0,78.7,3.67
Ariana,House,68000.0,150.0,78.7,3.67
Ariana,House,88000.0,244.0,78.7,3.67
