listing_url,image_url,image_index,source_csv,source_row,city
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/61913.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/61913/images/356271/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,103,"Kélibia, Hamem ghzez"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/61952.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/61952/images/352211/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,123,"Kélibia, Rue Mamounia"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62019.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62019/images/352485/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,115,"Kélibia, Jinen mansoura"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62096.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62096/images/366966/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,231,"Kélibia, Cité Merdes"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62097.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62097/images/363602/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,88,"Kélibia, Cité Merdes"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62214.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62214/images/356444/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,125,"Kélibia, Rue Mamounia"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62228.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62228/images/357534/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,111,"Kélibia, Avenue des nations unies"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62395.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62395/images/355809/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,126,"Kélibia, El zahra"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62427.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62427/images/355121/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,206,"Kélibia, Jinen mansoura"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62427.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62427/images/355121/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,206,"Kélibia, Jinen mansoura"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62442.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62442/images/362816/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,98,"Kélibia, Rue kerkouen"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/62446.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/62446/images/364084/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,87,"Kélibia, Avenue des nations Unies"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/63773.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/63773/images/368371/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,207,"Kélibia, Av de la mansoura"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/kelibia/63773.html,https://cdn-media.medialabtc.it/tn/agencies/naca4/estates/63773/images/368371/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,207,"Kélibia, Av de la mansoura"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/44033.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/44033/images/195202/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,107,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/44033.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/44033/images/195202/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,107,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/44426.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/44426/images/318272/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,106,"Nabeul, Rue lido - Nabeul Centre-Ville"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/44426.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/44426/images/318281/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,106,"Nabeul, Rue lido - Nabeul Centre-Ville"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/53137.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/53137/images/273020/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,133,"Nabeul, Cité el wafa - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/54095.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/54095/images/279247/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,235,"Nabeul, Rue 4 - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/54594.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/54594/images/284172/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,130,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/54863.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/54863/images/286703/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,162,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/55190.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/55190/images/290096/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,161,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/55205.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/55205/images/291793/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,173,"Nabeul, Ave. Taib Mhiri - Nabeul Centre-Ville"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/56365.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/56365/images/303556/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,85,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57050.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/57050/images/308125/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,134,"Nabeul, Cité el wafa - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57372.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/57372/images/312187/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,148,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57373.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/57373/images/312751/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,176,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57375.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/57375/images/311442/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,153,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57778.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/57778/images/312723/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,60,"Nabeul, Cite wafa nabeul - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57778.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/57778/images/312723/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,60,"Nabeul, Cite wafa nabeul - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/57869.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/57869/images/333418/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,136,"Nabeul, Cité el wafa - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/58146.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/58146/images/315635/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,147,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/58193.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/58193/images/320090/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,139,"Nabeul, Cité el wafa - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/58195.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/58195/images/320202/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,138,"Nabeul, Cité el wafa - Nabeul AFH"
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/59939.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/59939/images/336990/gallery_media.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,90,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/59939.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/59939/images/336990/detail.jpeg,2,data\csv\tecnocasa_real_estate_listings_all.csv,90,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/60341.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/60341/images/339060/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,140,Nabeul - Nabeul AFH
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/60400.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/60400/images/337625/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,104,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/60504.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/60504/images/338984/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,141,Nabeul - Nabeul AFH
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/60659.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/60659/images/341457/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,127,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/60775.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/60775/images/343436/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,142,Nabeul - Nabeul AFH
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/60999.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/60999/images/342561/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,131,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61098.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/61098/images/343647/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,143,Nabeul - Nabeul AFH
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61174.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/61174/images/344733/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,80,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61216.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/61216/images/346886/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,79,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61217.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/61217/images/344778/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,78,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61377.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/61377/images/351334/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,144,Nabeul - Nabeul AFH
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/61381.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/61381/images/351348/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,145,Nabeul - Nabeul AFH
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/62024.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/62024/images/355041/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,84,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/62025.html,https://cdn-media.medialabtc.it/tn/agencies/naca1/estates/62025/images/357553/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,110,Nabeul - Nabeul Centre-Ville
https://www.tecnocasa.tn/vendre/appartement/cap-bon/nabeul/62053.html,https://cdn-media.medialabtc.it/tn/agencies/naca2/estates/62053/images/352697/detail.jpeg,1,data\csv\tecnocasa_real_estate_listings_all.csv,146,Nabeul - Nabeul AFH
